variable,expression,result
x,\log _ { b } (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \frac { 1 } {  ( \tan ( x ) )  \ln ( { b } ) }
x,\sin (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \cos (  ( \tan ( x ) )  )
x,\cos (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) - \sin (  ( \tan ( x ) )  )
x,\tan (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \tan ( x ) )  ) }
x,\cot (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \tan ( x ) )  ) }
x,\arcsin (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \frac { 1 } { \sqrt { 1 -  ( \tan ( x ) )  ^ { 2 } } }
x,\arccos (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) - \frac { 1 } { \sqrt { 1 -  ( \tan ( x ) )  ^ { 2 } } }
x,\arctan (  ( \tan ( x ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \frac { 1 } { 1 +  ( \tan ( x ) )  ^ { 2 } }
x, ( \tan ( x ) )  + 8,(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) 1
x,\eta -  ( \tan ( x ) ) ,(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) - 1
x, ( \tan ( x ) )  M,(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) M
x,\frac { 1 } {  ( \tan ( x ) )  + O },(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) - \frac { 1 } { (  ( \tan ( x ) )  + O ) ^ { 2 } }
x,\frac { 1 } { T -  ( \tan ( x ) )  },(  \frac { 1 } { \cos ^ { 2 } ( x ) } ) \frac { 1 } { ( T -  ( \tan ( x ) )  ) ^ { 2 } }
y, ( \tan ( y ) )  ^ { H },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) H  ( \tan ( y ) )  ^ { H - 1 }
y, ( \tan ( y ) )  ^ { 0 },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) 0
y,0 ^ {  ( \tan ( y ) )  },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) 0 ^ {  ( \tan ( y ) )  } \ln ( 0 )
y,e ^ {  ( \tan ( y ) )  },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) e ^ {  ( \tan ( y ) )  }
y,\exp (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \exp (  ( \tan ( y ) )  )
y,\ln (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } {  ( \tan ( y ) )  }
y,\log _ { 9 } (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } {  ( \tan ( y ) )  \ln ( { 9 } ) }
y,\sin (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \cos (  ( \tan ( y ) )  )
y,\cos (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) - \sin (  ( \tan ( y ) )  )
y,\tan (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \tan ( y ) )  ) }
y,\cot (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \tan ( y ) )  ) }
y,\arcsin (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } { \sqrt { 1 -  ( \tan ( y ) )  ^ { 2 } } }
y,\arccos (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) - \frac { 1 } { \sqrt { 1 -  ( \tan ( y ) )  ^ { 2 } } }
y,\arctan (  ( \tan ( y ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } { 1 +  ( \tan ( y ) )  ^ { 2 } }
y, ( \tan ( y ) )  + p,(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) 1
y,\Sigma -  ( \tan ( y ) ) ,(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) - 1
y, ( \tan ( y ) )  F,(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) F
y,\frac { 1 } {  ( \tan ( y ) )  + 0 },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) - \frac { 1 } { (  ( \tan ( y ) )  + 0 ) ^ { 2 } }
y,\frac { 1 } { a -  ( \tan ( y ) )  },(  \frac { 1 } { \cos ^ { 2 } ( y ) } ) \frac { 1 } { ( a -  ( \tan ( y ) )  ) ^ { 2 } }
z, ( \tan ( z ) )  ^ { w },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) w  ( \tan ( z ) )  ^ { w - 1 }
z, ( \tan ( z ) )  ^ { 0 },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) 0
z,2 ^ {  ( \tan ( z ) )  },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) 2 ^ {  ( \tan ( z ) )  } \ln ( 2 )
z,e ^ {  ( \tan ( z ) )  },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) e ^ {  ( \tan ( z ) )  }
z,\exp (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \exp (  ( \tan ( z ) )  )
z,\ln (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } {  ( \tan ( z ) )  }
z,\log _ {  } (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } {  ( \tan ( z ) )  \ln ( {  } ) }
z,\sin (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \cos (  ( \tan ( z ) )  )
z,\cos (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) - \sin (  ( \tan ( z ) )  )
z,\tan (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \tan ( z ) )  ) }
z,\cot (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \tan ( z ) )  ) }
z,\arcsin (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } { \sqrt { 1 -  ( \tan ( z ) )  ^ { 2 } } }
z,\arccos (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) - \frac { 1 } { \sqrt { 1 -  ( \tan ( z ) )  ^ { 2 } } }
z,\arctan (  ( \tan ( z ) )  ),(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } { 1 +  ( \tan ( z ) )  ^ { 2 } }
z, ( \tan ( z ) )  + p,(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) 1
z,\tau -  ( \tan ( z ) ) ,(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) - 1
z, ( \tan ( z ) )  F,(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) F
z,\frac { 1 } {  ( \tan ( z ) )  + b },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) - \frac { 1 } { (  ( \tan ( z ) )  + b ) ^ { 2 } }
z,\frac { 1 } { H -  ( \tan ( z ) )  },(  \frac { 1 } { \cos ^ { 2 } ( z ) } ) \frac { 1 } { ( H -  ( \tan ( z ) )  ) ^ { 2 } }
A, ( \cot ( A ) )  ^ { B },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) B  ( \cot ( A ) )  ^ { B - 1 }
A, ( \cot ( A ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) 0
A,y ^ {  ( \cot ( A ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) y ^ {  ( \cot ( A ) )  } \ln ( y )
A,e ^ {  ( \cot ( A ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) e ^ {  ( \cot ( A ) )  }
A,\exp (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \exp (  ( \cot ( A ) )  )
A,\ln (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } {  ( \cot ( A ) )  }
A,\log _ { o } (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } {  ( \cot ( A ) )  \ln ( { o } ) }
A,\sin (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \cos (  ( \cot ( A ) )  )
A,\cos (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) - \sin (  ( \cot ( A ) )  )
A,\tan (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( A ) )  ) }
A,\cot (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( A ) )  ) }
A,\arcsin (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( A ) )  ^ { 2 } } }
A,\arccos (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( A ) )  ^ { 2 } } }
A,\arctan (  ( \cot ( A ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } { 1 +  ( \cot ( A ) )  ^ { 2 } }
A, ( \cot ( A ) )  + \Xi,(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) 1
A,\mu -  ( \cot ( A ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) - 1
A, ( \cot ( A ) )  \nu,(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \nu
A,\frac { 1 } {  ( \cot ( A ) )  + 0 },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) - \frac { 1 } { (  ( \cot ( A ) )  + 0 ) ^ { 2 } }
A,\frac { 1 } { i -  ( \cot ( A ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( A ) } ) \frac { 1 } { ( i -  ( \cot ( A ) )  ) ^ { 2 } }
B, ( \cot ( B ) )  ^ { A },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) A  ( \cot ( B ) )  ^ { A - 1 }
B, ( \cot ( B ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) 0
B,T ^ {  ( \cot ( B ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) T ^ {  ( \cot ( B ) )  } \ln ( T )
B,e ^ {  ( \cot ( B ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) e ^ {  ( \cot ( B ) )  }
B,\exp (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \exp (  ( \cot ( B ) )  )
B,\ln (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } {  ( \cot ( B ) )  }
B,\log _ { G } (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } {  ( \cot ( B ) )  \ln ( { G } ) }
B,\sin (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \cos (  ( \cot ( B ) )  )
B,\cos (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) - \sin (  ( \cot ( B ) )  )
B,\tan (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( B ) )  ) }
B,\cot (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( B ) )  ) }
B,\arcsin (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( B ) )  ^ { 2 } } }
B,\arccos (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( B ) )  ^ { 2 } } }
B,\arctan (  ( \cot ( B ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } { 1 +  ( \cot ( B ) )  ^ { 2 } }
B, ( \cot ( B ) )  + P,(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) 1
B,A -  ( \cot ( B ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) - 1
B, ( \cot ( B ) )  O,(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) O
B,\frac { 1 } {  ( \cot ( B ) )  + T },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) - \frac { 1 } { (  ( \cot ( B ) )  + T ) ^ { 2 } }
B,\frac { 1 } { \nu -  ( \cot ( B ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( B ) } ) \frac { 1 } { ( \nu -  ( \cot ( B ) )  ) ^ { 2 } }
C, ( \cot ( C ) )  ^ { P },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) P  ( \cot ( C ) )  ^ { P - 1 }
C, ( \cot ( C ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) 0
C,\rho ^ {  ( \cot ( C ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \rho ^ {  ( \cot ( C ) )  } \ln ( \rho )
C,e ^ {  ( \cot ( C ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) e ^ {  ( \cot ( C ) )  }
C,\exp (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \exp (  ( \cot ( C ) )  )
C,\ln (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } {  ( \cot ( C ) )  }
C,\log _ { M } (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } {  ( \cot ( C ) )  \ln ( { M } ) }
C,\sin (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \cos (  ( \cot ( C ) )  )
C,\cos (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) - \sin (  ( \cot ( C ) )  )
C,\tan (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( C ) )  ) }
C,\cot (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( C ) )  ) }
C,\arcsin (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( C ) )  ^ { 2 } } }
C,\arccos (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( C ) )  ^ { 2 } } }
C,\arctan (  ( \cot ( C ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } { 1 +  ( \cot ( C ) )  ^ { 2 } }
C, ( \cot ( C ) )  + 1,(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) 1
C,v -  ( \cot ( C ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) - 1
C, ( \cot ( C ) )  \nu,(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \nu
C,\frac { 1 } {  ( \cot ( C ) )  + G },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) - \frac { 1 } { (  ( \cot ( C ) )  + G ) ^ { 2 } }
C,\frac { 1 } { j -  ( \cot ( C ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( C ) } ) \frac { 1 } { ( j -  ( \cot ( C ) )  ) ^ { 2 } }
D, ( \cot ( D ) )  ^ { r },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) r  ( \cot ( D ) )  ^ { r - 1 }
D, ( \cot ( D ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) 0
D,0 ^ {  ( \cot ( D ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) 0 ^ {  ( \cot ( D ) )  } \ln ( 0 )
D,e ^ {  ( \cot ( D ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) e ^ {  ( \cot ( D ) )  }
D,\exp (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \exp (  ( \cot ( D ) )  )
D,\ln (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } {  ( \cot ( D ) )  }
D,\log _ { 1 } (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } {  ( \cot ( D ) )  \ln ( { 1 } ) }
D,\sin (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \cos (  ( \cot ( D ) )  )
D,\cos (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) - \sin (  ( \cot ( D ) )  )
D,\tan (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( D ) )  ) }
D,\cot (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( D ) )  ) }
D,\arcsin (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( D ) )  ^ { 2 } } }
D,\arccos (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( D ) )  ^ { 2 } } }
D,\arctan (  ( \cot ( D ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } { 1 +  ( \cot ( D ) )  ^ { 2 } }
D, ( \cot ( D ) )  + \varepsilon,(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) 1
D,\chi -  ( \cot ( D ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) - 1
D, ( \cot ( D ) )  B,(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) B
D,\frac { 1 } {  ( \cot ( D ) )  + 0 },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) - \frac { 1 } { (  ( \cot ( D ) )  + 0 ) ^ { 2 } }
D,\frac { 1 } { \alpha -  ( \cot ( D ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( D ) } ) \frac { 1 } { ( \alpha -  ( \cot ( D ) )  ) ^ { 2 } }
E, ( \cot ( E ) )  ^ { 3 },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) 3  ( \cot ( E ) )  ^ { 3 - 1 }
E, ( \cot ( E ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) 0
E,V ^ {  ( \cot ( E ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) V ^ {  ( \cot ( E ) )  } \ln ( V )
E,e ^ {  ( \cot ( E ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) e ^ {  ( \cot ( E ) )  }
E,\exp (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \exp (  ( \cot ( E ) )  )
E,\ln (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } {  ( \cot ( E ) )  }
E,\log _ { 3 } (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } {  ( \cot ( E ) )  \ln ( { 3 } ) }
E,\sin (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \cos (  ( \cot ( E ) )  )
E,\cos (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) - \sin (  ( \cot ( E ) )  )
E,\tan (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( E ) )  ) }
E,\cot (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( E ) )  ) }
E,\arcsin (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( E ) )  ^ { 2 } } }
E,\arccos (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( E ) )  ^ { 2 } } }
E,\arctan (  ( \cot ( E ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } { 1 +  ( \cot ( E ) )  ^ { 2 } }
E, ( \cot ( E ) )  + N,(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) 1
E,e -  ( \cot ( E ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) - 1
E, ( \cot ( E ) )  \phi,(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \phi
E,\frac { 1 } {  ( \cot ( E ) )  + \mu },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) - \frac { 1 } { (  ( \cot ( E ) )  + \mu ) ^ { 2 } }
E,\frac { 1 } { 5 -  ( \cot ( E ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( E ) } ) \frac { 1 } { ( 5 -  ( \cot ( E ) )  ) ^ { 2 } }
F, ( \cot ( F ) )  ^ { 8 },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) 8  ( \cot ( F ) )  ^ { 8 - 1 }
F, ( \cot ( F ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) 0
F,\delta ^ {  ( \cot ( F ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \delta ^ {  ( \cot ( F ) )  } \ln ( \delta )
F,e ^ {  ( \cot ( F ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) e ^ {  ( \cot ( F ) )  }
F,\exp (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \exp (  ( \cot ( F ) )  )
F,\ln (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } {  ( \cot ( F ) )  }
F,\log _ { \varrho } (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } {  ( \cot ( F ) )  \ln ( { \varrho } ) }
F,\sin (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \cos (  ( \cot ( F ) )  )
F,\cos (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) - \sin (  ( \cot ( F ) )  )
F,\tan (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( F ) )  ) }
F,\cot (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( F ) )  ) }
F,\arcsin (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( F ) )  ^ { 2 } } }
F,\arccos (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( F ) )  ^ { 2 } } }
F,\arctan (  ( \cot ( F ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } { 1 +  ( \cot ( F ) )  ^ { 2 } }
F, ( \cot ( F ) )  + \nu,(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) 1
F,\psi -  ( \cot ( F ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) - 1
F, ( \cot ( F ) )  d,(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) d
F,\frac { 1 } {  ( \cot ( F ) )  + f },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) - \frac { 1 } { (  ( \cot ( F ) )  + f ) ^ { 2 } }
F,\frac { 1 } { \chi -  ( \cot ( F ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( F ) } ) \frac { 1 } { ( \chi -  ( \cot ( F ) )  ) ^ { 2 } }
G, ( \cot ( G ) )  ^ { \Pi },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \Pi  ( \cot ( G ) )  ^ { \Pi - 1 }
G, ( \cot ( G ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) 0
G,R ^ {  ( \cot ( G ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) R ^ {  ( \cot ( G ) )  } \ln ( R )
G,e ^ {  ( \cot ( G ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) e ^ {  ( \cot ( G ) )  }
G,\exp (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \exp (  ( \cot ( G ) )  )
G,\ln (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } {  ( \cot ( G ) )  }
G,\log _ { X } (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } {  ( \cot ( G ) )  \ln ( { X } ) }
G,\sin (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \cos (  ( \cot ( G ) )  )
G,\cos (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) - \sin (  ( \cot ( G ) )  )
G,\tan (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( G ) )  ) }
G,\cot (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( G ) )  ) }
G,\arcsin (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( G ) )  ^ { 2 } } }
G,\arccos (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( G ) )  ^ { 2 } } }
